layer,matrix,variant,mean_kurtosis,mean_max_std_ratio,frob_norm,delta_frob_over_W_frob
2,down_proj,base,1.473154227523533,5.52362690909294,115.56242755979352,0.0
2,down_proj,svmo,1.4730421610306375,5.523638548050698,115.57438151889622,0.0003154508303850889
2,down_proj,lora,1.470160855743589,5.522473219139426,115.61106649258672,0.02905740961432457
3,q_proj,base,0.5382629086967621,4.549764676987651,67.87416793950285,0.0
3,q_proj,svmo,0.5384789052113892,4.549975919842538,67.88551668451154,0.00032393226865679026
3,q_proj,lora,0.537143609447586,4.548626828102869,67.89043592653522,0.02207072824239731
3,k_proj,base,0.7473441755074187,4.862812404793403,32.424934870048126,0.0
3,k_proj,svmo,0.7477433734639758,4.863531474643854,32.44742101997791,0.0009508044458925724
3,k_proj,lora,0.7464543548821817,4.861396337145918,32.43027506250176,0.017440786585211754
3,v_proj,base,0.6503032283306932,4.609821391284421,17.250560530081906,0.0
3,v_proj,svmo,0.6503593779832826,4.609897684606892,17.24666778086411,0.00036817489308305085
3,v_proj,lora,0.6478433757047803,4.6073013715459075,17.259988791192754,0.032154105603694916
3,o_proj,base,1.4252516012925904,4.723072832520126,53.06764659260453,0.0
3,o_proj,svmo,1.4252951335314605,4.723061742516963,53.06042256098056,0.0003245860862080008
3,o_proj,lora,1.4239350140520484,4.722392120236358,53.08458358755109,0.025604570284485817
3,gate_proj,base,0.3626929564235164,4.116684463426351,153.459844847488,0.0
3,gate_proj,svmo,0.36279071293181175,4.1169538404611385,153.48605631409572,0.0003968135279137641
3,gate_proj,lora,0.3620291661180901,4.116380533701115,153.49521434368083,0.02132376655936241
3,up_proj,base,0.5631157962065287,4.085172368374911,132.23820207533672,0.0
3,up_proj,svmo,0.5630598786754448,4.085201784780719,132.25600741010473,0.00043841011938638985
3,up_proj,lora,0.5622906386940872,4.085086426155691,132.28013883961367,0.025151466950774193
3,down_proj,base,1.1402594915253665,5.503174523983939,131.1027302977178,0.0
3,down_proj,svmo,1.1402502951203568,5.5034038839036805,131.13747020039222,0.0008353788289241493
3,down_proj,lora,1.1381298169636815,5.502392201187348,131.146793701364,0.026188787072896957
4,q_proj,base,0.6957226645721372,4.7315093619429405,64.63333065207692,0.0
4,q_proj,svmo,0.6961830421332353,4.732119010829003,64.67743541425845,0.0013405292993411422
4,q_proj,lora,0.694570558430715,4.7304150470903386,64.64876637215616,0.021525129675865173
4,k_proj,base,0.8247387133923041,4.662303105617674,29.076580555986677,0.0
4,k_proj,svmo,0.8247324860982346,4.662159974759433,29.061021954847714,0.0007116245687939227
4,k_proj,lora,0.8239008045725147,4.662628167023328,29.08239535501954,0.01827581785619259
4,v_proj,base,0.3078352976320129,4.119911993731209,20.84608851664026,0.0
4,v_proj,svmo,0.30782851911532966,4.119943659745099,20.855149251768182,0.0006820540293119848
4,v_proj,lora,0.3074933180943493,4.1188286704757555,20.853517543393394,0.026573998853564262
4,o_proj,base,0.7332530268773496,4.4778464424126945,53.276191407467714,0.0
4,o_proj,svmo,0.7332818091919062,4.477950293894984,53.29366305208988,0.0007394212298095226
4,o_proj,lora,0.7320473578725426,4.477526743424943,53.29696685780641,0.027307698503136635
4,gate_proj,base,0.24805925397696948,4.19111330563395,156.5707197928309,0.0
4,gate_proj,svmo,0.24752058384297823,4.18959713834646,156.50842738908486,0.001016636611893773
4,gate_proj,lora,0.2477568667362558,4.191014199317354,156.60464468050276,0.020934907719492912
4,up_proj,base,0.28791881112860557,4.049986697998265,129.5006329879579,0.0
4,up_proj,svmo,0.28793247526497023,4.0500231940386175,129.51205247729084,0.0002973688533529639
4,up_proj,lora,0.28756083223856893,4.049755581892698,129.54229556427,0.025167785584926605
4,down_proj,base,1.2800181227509253,5.410754461630751,128.61310433546777,0.0
4,down_proj,svmo,1.279991538442275,5.410830738026284,128.62058684478183,0.0001850320550147444
4,down_proj,lora,1.2776649220051972,5.409855591862668,128.66096876562935,0.027151821181178093
5,q_proj,base,0.6545229895095261,4.720574392510828,63.17059862166993,0.0
5,q_proj,svmo,0.654581355117808,4.720641264563914,63.17322465807323,8.546072785975412e-05
5,q_proj,lora,0.6537995535001163,4.720576440295387,63.18826028147617,0.0232473723590374
5,k_proj,base,1.1804292143284612,4.733554558371708,26.627009921108073,0.0
5,k_proj,svmo,1.180485401908114,4.733555474526502,26.622918474898107,0.00021755856869276613
5,k_proj,lora,1.1784608420890548,4.734264105940326,26.632938138312422,0.02064538560807705
5,v_proj,base,0.2972096957806705,4.138104838257818,19.827532937994583,0.0
5,v_proj,svmo,0.29719984969068264,4.138093057441272,19.825701990459375,0.00014186710177455097
5,v_proj,lora,0.29739331897773236,4.14113586933681,19.83667843384169,0.02907351776957512
5,o_proj,base,0.582820434378673,4.397836155274681,53.362866402734255,0.0
5,o_proj,svmo,0.5830530315631333,4.398046137830134,53.380733437552024,0.0006781109259463847
5,o_proj,lora,0.5818982836334968,4.397460214348627,53.38445849172359,0.02840486913919449
5,gate_proj,base,0.31158907914630285,4.193763472636864,149.25539087851584,0.0
5,gate_proj,svmo,0.31150885737243494,4.193552239005132,149.2472438688276,0.00015390792395919561
5,gate_proj,lora,0.3110208422784553,4.193324954573402,149.29189956435044,0.022090336307883263
5,up_proj,base,0.47318132184480693,4.060775692782321,133.8345989190123,0.0
5,up_proj,svmo,0.4731900671680769,4.060760644733481,133.8281558365262,0.0001669973717071116
5,up_proj,lora,0.4726405027192601,4.0602922590056725,133.87402452613475,0.02422921732068062
5,down_proj,base,1.3144701894635615,5.344889590593608,131.90448064309808,0.0
5,down_proj,svmo,1.314375708084069,5.344940808778483,131.9138566226786,0.00023509831225965172
5,down_proj,lora,1.3118265244925864,5.344364654552874,131.94263485257738,0.024137716740369797
6,q_proj,base,0.5270319041362738,4.659711370196763,64.21732133808908,0.0
6,q_proj,svmo,0.5269190716607011,4.659590778932184,64.20994106465709,0.00023599698033649474
6,q_proj,lora,0.5261046127102131,4.658625646918537,64.23309474636072,0.022307440638542175
6,k_proj,base,0.9128472285708044,4.63405310046509,28.530716185462186,0.0
6,k_proj,svmo,0.9122708037091334,4.633328910306976,28.49404774919291,0.0017543513095006347
6,k_proj,lora,0.9131437895363783,4.634445653887209,28.535199447683645,0.01834937371313572
6,v_proj,base,0.2958173419287451,4.210145036415277,20.670860097861357,0.0
6,v_proj,svmo,0.29581777922893265,4.210254662558886,20.65730652378115,0.00106660311575979
6,v_proj,lora,0.295225060613203,4.208963441147219,20.678655418910598,0.027085762470960617
6,o_proj,base,0.6271580833149074,4.402893873017778,54.914323465641125,0.0
6,o_proj,svmo,0.6271590960135145,4.402901423503031,54.91590391319696,6.154143920866773e-05
6,o_proj,lora,0.6262489655307762,4.402637341247121,54.93422742201253,0.026948561891913414
6,gate_proj,base,1.0454184972401204,4.939680930168749,151.0570740011277,0.0
6,gate_proj,svmo,1.0458194281837014,4.940697460502208,151.07111266569734,0.00023934802447911352
6,gate_proj,lora,1.044156903871283,4.939275473680503,151.09191869624922,0.021419160068035126
6,up_proj,base,0.5259491839229025,4.181654685316276,129.56182075555853,0.0
